Date,low_beta_new,momentum_new,quality_new,Equity Momentum,Equity Low Beta,Equity Quality,Commodity Carry,Commodity Curve,Credit Curve,Credit Carry,FX Carry,FX Value,Interest Rate Spread,Interest Rate Curve,Equity Trend,FX Trend,Commodity Trend,Interest Rate Trend,Commodity Volatility Carry,Interest Rate Volatility Carry,Equity Volatility Carry,COT,Merger Arb
03/03/2014,92.1,90.98,81.17,101.39,93.04,105.52,323.4641,225.6059,102.7052,102.4209,263.8637,130.9155,106.7111,130.1866,104.607,233.2938,215.951,200.194,308.8757,146.4856,102.06,128.4171,1090.001359
04/03/2014,92.18,91.62,81.38,101.69,93.14,105.36,321.9227,225.7587,102.748,102.5411,264.0633,131.2426,106.6996,130.3784,105.6531,232.9725,215.2638,200.2278,307.9017,146.443,101.77,128.6182,1091.362304
05/03/2014,91.78,91.53,81.23,101.64,92.96,105.4,319.7218,226.4732,102.7359,102.7372,264.3858,131.3277,106.6885,130.4013,105.7281,232.6947,215.1029,200.1008,308.1172,146.6689,101.89,128.7355,1091.441779
06/03/2014,91.6,91.3,81.25,101.47,92.81,105.26,318.7556,226.2615,102.7758,102.6667,264.8381,131.3559,106.6718,130.4078,105.8758,232.5592,214.0578,199.6701,308.0237,146.5827,102,128.8064,1090.312225
07/03/2014,92,91.34,81.3,101.4,92.97,105.29,319.8611,226.3479,102.7616,102.6343,264.1821,131.1997,106.6607,130.1885,105.5119,233.7656,215.5058,199.2983,307.9063,146.6094,101.78,128.8473,1089.614878
10/03/2014,92.04,91.52,81.43,101.38,92.98,105.48,317.906,226.3746,102.7591,102.7378,263.5595,130.8688,106.6533,130.2475,105.4257,234.3396,216.4892,199.4257,307.7013,146.9195,102.08,129.0141,1089.39281
11/03/2014,92.39,91.46,81.46,101.3,93.04,105.5,317.3668,226.4204,102.7614,102.798,263.2798,130.9175,106.6582,130.2811,105.3506,234.891,216.067,199.4406,308.2215,146.9823,102.25,129.1726,1090.640853
12/03/2014,92.32,91.45,81.51,101.3,93.04,105.53,315.9388,226.6062,102.776,102.6992,262.0047,130.4961,106.679,130.1972,105.1214,235.5469,213.5979,199.6042,306.9767,146.9427,102.3,129.1835,1090.534603
13/03/2014,92.57,91.15,81.5,101.17,93.17,105.39,315.1971,226.7131,102.7786,102.5953,262.4495,130.5891,106.7137,130.1303,104.5424,234.9139,214.574,200.0101,307.3768,146.0326,101.73,129.24,1089.682713
14/03/2014,92.63,91.14,81.37,101.3,93.28,105.55,316.1506,226.507,102.8251,102.5608,262.1407,130.4462,106.7301,129.9955,104.0716,234.5468,214.1756,199.9943,306.903,145.6229,101.35,129.2363,1090.646701
